Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,0.047u,C_0603_HandSoldering,131.318,-35.24,90.0,top
C4,0.047u,C_0603_HandSoldering,115.518,-100.46,-90.0,top
C5,0.047u,C_0603_HandSoldering,121.568,-107.01,180.0,top
C6,0.047u,C_0603_HandSoldering,68.5,-42.5,180.0,top
C7,0.047u,C_0603_HandSoldering,80.0,-37.25,-90.0,top
C8,0.047u,C_0603_HandSoldering,61.0,-48.5,90.0,top
C14,27p,C_0402_1005Metric,116.9,-42.0,-90.0,top
C15,27p,C_0402_1005Metric,121.412,-37.719,0.0,top
C16,10u,C_0805_2012Metric,50.7,-53.6,-90.0,top
C17,100n,C_0402_1005Metric,100.7,-39.7,180.0,top
C18,10u,C_0805_2012Metric,66.4,-67.2,0.0,top
C19,100n,C_0402_1005Metric,117.3,-37.0,0.0,top
C20,100n,C_0402_1005Metric,100.7,-40.8,180.0,top
C21,1u,C_0402_1005Metric,103.0,-36.0,180.0,top
C22,100n,C_0402_1005Metric,117.3,-38.2,0.0,top
C23,1u,C_0402_1005Metric,103.0,-35.0,180.0,top
C24,100n,C_0402_1005Metric,102.5,-46.25,-90.0,top
C25,100n,C_0402_1005Metric,115.1,-44.82,-90.0,top
C26,100n,C_0402_1005Metric,105.8,-33.2,90.0,top
C27,100n,C_0402_1005Metric,112.25,-31.0,90.0,top
C28,100n,C_0402_1005Metric,104.6,-33.2,90.0,top
C29,100n,C_0402_1005Metric,53.25,-56.02,-90.0,top
C30,100n,C_0402_1005Metric,90.551,-38.354,90.0,top
C31,100n,C_0402_1005Metric,93.599,-45.085,-90.0,top
C32,100n,C_0402_1005Metric,107.5944,-72.3646,90.0,top
D1,MBR0520,D_SOD-123,61.2,-68.1,-90.0,top
D2,M7C,D_SOD-123,79.0,-65.51,180.0,top
F1,Fuse,Fuse_1206_3216Metric,76.0,-31.5,0.0,top
H2,Slot,Slot,170.79,-76.13,0.0,top
J1,Conn_01x06_Female,GCC_Header_Straight_1x06_Pitch2.00mm,103.99,-25.63,90.0,bottom
J2,Conn_01x02,PinHeader_1x02_P2.00mm_Vertical,83.2264,-64.8716,-90.0,bottom
J3,Conn_01x02,PinHeader_1x02_P2.00mm_Horizontal,170.815,-64.761,180.0,bottom
J4,Conn_01x01,PinHeader_1x01_P2.54mm_Vertical,117.8,-25.6,0.0,top
J5,Rumble,rumble_pins,86.182,-69.118,-90.0,bottom
J6,Conn_01x06,PinSocket_1x06_P2.00mm_Vertical,126.5,-51.5,0.0,bottom
J8,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,54.4,-77.4,0.0,top
J11,Conn_01x02,PinHeader_1x02_P2.00mm_Vertical,108.8,-25.6,90.0,top
J14,Conn_01x06,PinSocket_1x06_P2.00mm_Vertical,171.3192,-79.2226,90.0,bottom
J15,Conn_01x06,PinSocket_1x06_P2.00mm_Vertical,115.3668,-60.41,180.0,bottom
Q1,Q_NMOS_GSD,SOT-23,76.5,-35.0,180.0,top
Q2,Q_PMOS_GDS,SOT-23,71.7,-33.6,-90.0,top
Q3,Q_NMOS_GSD,SOT-23,80.79,-32.75,-90.0,top
R1,180,R_0402_1005Metric,86.106,-52.0,-90.0,top
R2,180,R_0402_1005Metric,86.606,-50.3,180.0,top
R3,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115.518,-96.51,90.0,top
R4,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.6055,-107.01,0.0,top
R5,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.4125,-42.5,0.0,top
R6,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61.0,-52.5,-90.0,top
R7,180,R_0402_1005Metric,88.356,-50.8,90.0,top
R8,180,R_0402_1005Metric,88.356,-52.9,90.0,top
R9,180,R_0402_1005Metric,87.056,-54.5,90.0,top
R10,316,R_0402_1005Metric,90.106,-50.3,0.0,top
R11,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-28.83,180.0,top
R12,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-30.53,180.0,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.7,-34.7,180.0,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-32.23,0.0,top
R15,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.9,-26.3,-90.0,top
R16,1k,C_0402_1005Metric,93.0,-38.0,90.0,top
R18,1k,C_0402_1005Metric,117.3,-39.4,0.0,top
R19,316,R_0402_1005Metric,90.106,-51.5,0.0,top
R20,27,C_0402_1005Metric,103.0,-38.0,0.0,top
R21,27,C_0402_1005Metric,103.0,-37.0,0.0,top
R24,316,R_0402_1005Metric,90.106,-52.7,0.0,top
R25,316,R_0402_1005Metric,90.106,-53.9,0.0,top
RV1,R_POT_MountingPin,GCC_Slider,85.99,-36.13,180.0,bottom
RV2,R_POT_MountingPin,GCC_Slider,135.99,-36.13,180.0,bottom
S1,BOOTSEL,SW_TS-1187A-B-A-B,97.5,-32.5,-90.0,top
SW1,A,ABXY_Contact_Omron_Switch,152.24,-51.08,0.0,top
SW2,B,ABXY_Contact_Omron_Switch,137.04,-58.78,41.0,top
SW3,X,ABXY_Contact_Omron_Switch,166.54,-47.68,12.0,top
SW4,Y,ABXY_Contact_Omron_Switch,148.24,-36.98,-63.0,top
SW5,Start,Start_Contact,110.99,-51.18,0.0,top
SW6,L,Pin_Header_Straight_1x02_Pitch2.54mm,50.75,-60.0,0.0,bottom
SW7,R,Pin_Header_Straight_1x02_Pitch2.54mm,170.815,-61.595,0.0,bottom
SW8,Z,Z_Switch_Edge_Omron,161.141443,-35.505,-30.0,top
SW9,Dleft,Dpad_Contact_TL3315NF_2,80.74,-81.13,180.0,top
SW10,Dup,Dpad_Contact_TL3315NF_2,88.69,-73.18,-90.0,top
SW11,Dright,Dpad_Contact_TL3315NF_2,96.64,-81.13,180.0,top
SW12,Ddown,Dpad_Contact_TL3315NF_2,88.69,-89.08,90.0,top
U1,MCP3002,SOIC-8_3.9x4.9mm_P1.27mm,86.2,-40.8,0.0,top
U2,Stickbox_Assembly_Main,GCC_Stickbox_Hall_Only,69.795083,-51.128232,177.0,top
U3,MCP3002,SOIC-8_3.9x4.9mm_P1.27mm,109.518,-77.41,90.0,top
U4,DRV5055A2xDBZxQ1,SOT-23,123.716,-89.91,-90.0,top
U5,Stickbox_Assembly_CStick,GCC_Stickbox_Hall_Only,123.719,-98.604552,-90.0,top
U6,AMS1117-3.3,SOT-223-3_TabPin2,54.9,-68.8,0.0,top
U7,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,97.0,-48.0,90.0,top
U8,RP2040,RP2040-QFN-56,110.0,-39.0,90.0,top
U9,DRV5055A2xDBZxQ1,SOT-23,132.418,-98.61,180.0,top
U10,DRV5055A2xDBZxQ1,SOT-23,69.350935,-59.811215,87.0,top
U11,DRV5055A2xDBZxQ1,SOT-23,78.475,-51.575,177.0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,120.9,-40.65,180.0,top
